index,spot,strike,call_oi,put_oi,call_ltp,put_ltp,call_iv,put_iv,expiry,lot_size,last_updated
NIFTY,22512.3,22000,3680,3926,585.47,73.17,0.1436,0.155,2026-05-15,50,2026-05-12T16:15:25.809898
NIFTY,22512.3,22050,4004,3875,546.5,84.2,0.1516,0.1544,2026-05-15,50,2026-05-12T16:15:25.809971
NIFTY,22512.3,22100,5796,5634,497.15,84.85,0.1464,0.1643,2026-05-15,50,2026-05-12T16:15:25.809995
NIFTY,22512.3,22150,6397,6954,451.63,89.33,0.1518,0.1452,2026-05-15,50,2026-05-12T16:15:25.810011
NIFTY,22512.3,22200,6409,7008,406.4,94.1,0.1422,0.1579,2026-05-15,50,2026-05-12T16:15:25.810028
NIFTY,22512.3,22250,8624,7920,360.25,97.95,0.1421,0.1529,2026-05-15,50,2026-05-12T16:15:25.810043
NIFTY,22512.3,22300,9237,10518,313.44,101.14,0.137,0.1412,2026-05-15,50,2026-05-12T16:15:25.810059
NIFTY,22512.3,22350,11079,13747,265.69,103.39,0.137,0.1426,2026-05-15,50,2026-05-12T16:15:25.810073
NIFTY,22512.3,22400,13989,15692,223.55,111.25,0.1276,0.1507,2026-05-15,50,2026-05-12T16:15:25.810088
NIFTY,22512.3,22450,16564,15818,181.42,119.12,0.1351,0.137,2026-05-15,50,2026-05-12T16:15:25.810103
NIFTY,22512.3,22500,20986,18881,137.41,125.11,0.1282,0.1403,2026-05-15,50,2026-05-12T16:15:25.810124
NIFTY,22512.3,22550,17923,16260,117.54,155.24,0.1386,0.1325,2026-05-15,50,2026-05-12T16:15:25.810184
NIFTY,22512.3,22600,14659,14862,117.8,205.5,0.1359,0.1374,2026-05-15,50,2026-05-12T16:15:25.810216
NIFTY,22512.3,22650,14066,11506,112.52,250.22,0.1268,0.153,2026-05-15,50,2026-05-12T16:15:25.810239
NIFTY,22512.3,22700,10902,12803,108.58,296.28,0.1405,0.1475,2026-05-15,50,2026-05-12T16:15:25.810258
NIFTY,22512.3,22750,9526,10453,94.18,331.88,0.1357,0.1542,2026-05-15,50,2026-05-12T16:15:25.810272
NIFTY,22512.3,22800,7860,9170,96.1,383.8,0.1435,0.158,2026-05-15,50,2026-05-12T16:15:25.810287
NIFTY,22512.3,22850,6183,6186,90.42,428.12,0.144,0.1602,2026-05-15,50,2026-05-12T16:15:25.810301
NIFTY,22512.3,22900,5467,6173,92.78,480.48,0.1357,0.1534,2026-05-15,50,2026-05-12T16:15:25.810315
NIFTY,22512.3,22950,4900,4975,85.06,522.76,0.1438,0.1507,2026-05-15,50,2026-05-12T16:15:25.810329
NIFTY,22512.3,23000,3938,3929,84.32,572.02,0.159,0.1678,2026-05-15,50,2026-05-12T16:15:25.810386
